AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,Colorodo
CT,Connecticut
DE,Delaware
DC,District of Columbia
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MD,Maryland
MA,Massachusetts
MI,Michigan
MS,Mississippi
MO,Missouri
MT,Montana
NE,Nebraska
NV,Nevada
NH,New Hampshire
NJ,New Jersey
NM,New Mexico
NY,New York
NC,North Carolina
ND,North Dakota
OH,Ohio
OK,Oklahoma
OR,Oregon
PA,Pennsylvania
RI,Rhode Island
SC,South Carolina
SD,South Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,West Virginia
WI,Wisconsin
WY,Wyoming
AS,American Samoa
BC,British Columbia
CR,Crete
FM,Federated States of Micronesia
GU,Guam
JQ,Johnston Atoll
MB,Manitoba
MH,Marshall Islands
MN,Minnesota
MP,Mpumalanga
NB,New Brunswick
NS,Nova Scotia
NT,Northwest Territories
NU,Nunavut
ON,Ontario
PC,Pacific Islands
PR,Puerto Rico
PW,Palau
QC,Québec
UM,U.S. Minor Outlying Island
VI,Virgin Islands
YK,Yukon Territory
YT,Unorganized Yukon

